scenario,final_value,max_value,min_value
863,97186.22,97186.22,1000.00
864,97312.43,97312.43,1000.00
865,97438.67,97438.67,1000.00
866,97564.96,97564.96,1000.00
867,97691.29,97691.29,1000.00
868,97817.66,97817.66,1000.00
869,97944.06,97944.06,1000.00
870,98070.51,98070.51,1000.00
871,98197.00,98197.00,1000.00
872,98323.52,98323.52,1000.00
873,98450.09,98450.09,1000.00
874,98576.70,98576.70,1000.00
875,98703.34,98703.34,1000.00
876,98830.03,98830.03,1000.00
877,98956.76,98956.76,1000.00
878,99083.52,99083.52,1000.00
879,99210.33,99210.33,1000.00
880,99337.18,99337.18,1000.00
881,99464.06,99464.06,1000.00
882,99590.99,99590.99,1000.00
883,99717.96,99717.96,1000.00
884,99844.96,99844.96,1000.00
885,99972.01,99972.01,1000.00
886,100099.09,100099.09,1000.00
887,100226.22,100226.22,1000.00
888,100353.39,100353.39,1000.00
889,100480.59,100480.59,1000.00
890,100607.84,100607.84,1000.00
891,100735.13,100735.13,1000.00
892,100862.46,100862.46,1000.00
893,100989.82,100989.82,1000.00
894,101117.23,101117.23,1000.00
895,101244.68,101244.68,1000.00
896,101372.17,101372.17,1000.00
897,101499.69,101499.69,1000.00
898,101627.26,101627.26,1000.00
899,101754.87,101754.87,1000.00
900,101882.52,101882.52,1000.00
901,102010.21,102010.21,1000.00
902,102137.93,102137.93,1000.00
903,102265.70,102265.70,1000.00
904,102393.51,102393.51,1000.00
905,102521.36,102521.36,1000.00
906,102649.25,102649.25,1000.00
907,102777.18,102777.18,1000.00
908,102905.15,102905.15,1000.00
909,103033.16,103033.16,1000.00
910,103161.22,103161.22,1000.00
911,103289.31,103289.31,1000.00
912,103417.44,103417.44,1000.00
913,103545.61,103545.61,1000.00
914,103673.82,103673.82,1000.00
915,103802.08,103802.08,1000.00
916,103930.37,103930.37,1000.00
917,104058.70,104058.70,1000.00
918,104187.08,104187.08,1000.00
919,104315.49,104315.49,1000.00
920,104443.95,104443.95,1000.00
921,104572.44,104572.44,1000.00
922,104700.98,104700.98,1000.00
923,104829.56,104829.56,1000.00
924,104958.17,104958.17,1000.00
925,105086.83,105086.83,1000.00
926,105215.53,105215.53,1000.00
927,105344.27,105344.27,1000.00
928,105473.05,105473.05,1000.00
929,105601.87,105601.87,1000.00
930,105730.73,105730.73,1000.00
931,105859.63,105859.63,1000.00
932,105988.57,105988.57,1000.00
933,106117.55,106117.55,1000.00
934,106246.57,106246.57,1000.00
935,106375.64,106375.64,1000.00
936,106504.74,106504.74,1000.00
937,106633.88,106633.88,1000.00
938,106763.07,106763.07,1000.00
939,106892.29,106892.29,1000.00
940,107021.56,107021.56,1000.00
941,107150.87,107150.87,1000.00
942,107280.22,107280.22,1000.00
943,107409.60,107409.60,1000.00
944,107539.03,107539.03,1000.00
945,107668.50,107668.50,1000.00
946,107798.01,107798.01,1000.00
947,107927.57,107927.57,1000.00
948,108057.16,108057.16,1000.00
949,108186.79,108186.79,1000.00
950,108316.46,108316.46,1000.00
951,108446.18,108446.18,1000.00
952,108575.93,108575.93,1000.00
953,108705.73,108705.73,1000.00
954,108835.57,108835.57,1000.00
955,108965.45,108965.45,1000.00
956,109095.36,109095.36,1000.00
957,109225.32,109225.32,1000.00
958,109355.32,109355.32,1000.00
959,109485.37,109485.37,1000.00
960,109615.45,109615.45,1000.00
961,109745.57,109745.57,1000.00
962,109875.74,109875.74,1000.00
963,110005.94,110005.94,1000.00
964,110136.19,110136.19,1000.00
965,110266.47,110266.47,1000.00
966,110396.80,110396.80,1000.00
967,110527.17,110527.17,1000.00
968,110657.58,110657.58,1000.00
969,110788.03,110788.03,1000.00
970,110918.52,110918.52,1000.00
971,111049.06,111049.06,1000.00
972,111179.63,111179.63,1000.00
973,111310.25,111310.25,1000.00
974,111440.90,111440.90,1000.00
975,111571.60,111571.60,1000.00
976,111702.34,111702.34,1000.00
977,111833.12,111833.12,1000.00
978,111963.94,111963.94,1000.00
979,112094.80,112094.80,1000.00
980,112225.70,112225.70,1000.00
981,112356.65,112356.65,1000.00
982,112487.63,112487.63,1000.00
983,112618.66,112618.66,1000.00
984,112749.73,112749.73,1000.00
985,112880.84,112880.84,1000.00
986,113011.99,113011.99,1000.00
987,113143.18,113143.18,1000.00
988,113274.41,113274.41,1000.00
989,113405.69,113405.69,1000.00
990,113537.00,113537.00,1000.00
991,113668.36,113668.36,1000.00
992,113799.75,113799.75,1000.00
993,113931.19,113931.19,1000.00
994,114062.67,114062.67,1000.00
995,114194.20,114194.20,1000.00
996,114325.76,114325.76,1000.00
997,114457.36,114457.36,1000.00
998,114589.01,114589.01,1000.00
999,114720.70,114720.70,1000.00
